"TIME","GEO","CROP_PRO","STRUCPRO","Value","Flag and Footnotes"
"2005","Sør-Østlandet","ha: Green maize: Other green fodder: Fodder crops","Total","0",""
"2005","Sør-Østlandet","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Agder og Rogaland","ha: Utilised agricultural area","Total","131 640",""
"2005","Agder og Rogaland","ha: Arable land","Total","49 560",""
"2005","Agder og Rogaland","ha: Common wheat and spelt","Total","160",""
"2005","Agder og Rogaland","ha: Durum wheat","Total","0",""
"2005","Agder og Rogaland","ha: Rye","Total","20",""
"2005","Agder og Rogaland","ha: Barley","Total","4 810",""
"2005","Agder og Rogaland","ha: Oats","Total","1 130",""
"2005","Agder og Rogaland","ha: Grain maize","Total","0",""
"2005","Agder og Rogaland","ha: Rice","Total","0",""
"2005","Agder og Rogaland","ha: Other cereals","Total","110",""
"2005","Agder og Rogaland","ha: Pulses - total","Total","0",""
"2005","Agder og Rogaland","ha: Potatoes","Total","1 260",""
"2005","Agder og Rogaland","ha: Sugar beet","Total","0",""
"2005","Agder og Rogaland","ha: Fodder roots and brassicas","Total","0",""
